"filename", "language", "XMake", "C++", "C", "Lua", "comment", "blank", "total"
"/home/meowk/Documents/flandre/mind.lua", "Lua", 0, 0, 0, 3, 0, 1, 4
"/home/meowk/Documents/flandre/src/decoder.c", "C", 0, 0, 65, 0, 2, 9, 76
"/home/meowk/Documents/flandre/src/decoder.h", "C++", 0, 11, 0, 0, 0, 5, 16
"/home/meowk/Documents/flandre/src/entity.c", "C", 0, 0, 194, 0, 3, 23, 220
"/home/meowk/Documents/flandre/src/entity.h", "C++", 0, 6, 0, 0, 0, 4, 10
"/home/meowk/Documents/flandre/src/flandre.c", "C", 0, 0, 29, 0, 0, 8, 37
"/home/meowk/Documents/flandre/src/flandre.h", "C++", 0, 4, 0, 0, 0, 2, 6
"/home/meowk/Documents/flandre/src/gfx_backend_ogl.c", "C", 0, 0, 543, 0, 49, 76, 668
"/home/meowk/Documents/flandre/src/gfx_backend_ogl.h", "C++", 0, 3, 0, 0, 0, 2, 5
"/home/meowk/Documents/flandre/src/gfx_interface.h", "C++", 0, 23, 0, 0, 0, 3, 26
"/home/meowk/Documents/flandre/src/graphics.c", "C", 0, 0, 99, 0, 0, 12, 111
"/home/meowk/Documents/flandre/src/graphics.h", "C++", 0, 10, 0, 0, 0, 7, 17
"/home/meowk/Documents/flandre/src/keyboard.c", "C", 0, 0, 62, 0, 0, 9, 71
"/home/meowk/Documents/flandre/src/keyboard.h", "C++", 0, 6, 0, 0, 0, 4, 10
"/home/meowk/Documents/flandre/src/log.c", "C", 0, 0, 134, 0, 21, 22, 177
"/home/meowk/Documents/flandre/src/log.h", "C++", 0, 42, 0, 0, 6, 10, 58
"/home/meowk/Documents/flandre/src/main.c", "C", 0, 0, 88, 0, 8, 9, 105
"/home/meowk/Documents/flandre/src/math.c", "C", 0, 0, 328, 0, 0, 20, 348
"/home/meowk/Documents/flandre/src/math.h", "C++", 0, 4, 0, 0, 0, 3, 7
"/home/meowk/Documents/flandre/src/memory.c", "C", 0, 0, 23, 0, 0, 7, 30
"/home/meowk/Documents/flandre/src/memory.h", "C++", 0, 8, 0, 0, 0, 3, 11
"/home/meowk/Documents/flandre/src/opengl/glad.c", "C", 0, 0, 1762, 0, 25, 47, 1834
"/home/meowk/Documents/flandre/src/opengl/glad.h", "C++", 0, 3658, 0, 0, 20, 17, 3695
"/home/meowk/Documents/flandre/src/opengl/khrplatform.h", "C++", 0, 117, 0, 0, 165, 30, 312
"/home/meowk/Documents/flandre/xmake.lua", "XMake", 8, 0, 0, 0, 68, 6, 82
"Total", "-", 8, 3892, 3327, 3, 367, 339, 7936
